UrlName	Name	LastUpdated	OSType	BasedOn	Origin	Architecture	Desktop	Category	Status	Popularity	Description
tinycore	Tiny Core Linux	2024-02-22 17:05 UTC	Linux	independent	USA	i486;x86_64	dwm;Fluxbox;flwm;GNOME;Hackedbox;i3;IceWM;JWM;Openbox;WMFS	Desktop;From RAM;Live Medium;Old Computers;Raspberry Pi 	Active	72 (151 hits per day)	Tiny Core Linux is a 16 MB graphical Linux desktop. It is based on a recent Linux kernel, BusyBox, Tiny X, Fltk, and Flwm. The core runs entirely in memory and boots very quickly. The user has complete control over which applications and/or additional hardware to have supported, be it for a desktop, a nettop, an appliance or server; selectable from the project's online repository.
sdesk	SDesk	2024-04-03 23:23 UTC	Linux	arch	Canada	x86_64	GNOME	Desktop;Live Medium 	Active	73 (148 hits per day)	SDesk is an Arch-based Linux distribution which strives for an easy to use, modern approach to desktop computing. The SDesk project ships up to date software and uses GNOME running on a Wayland session for its default desktop environment. SDesk includes a number of popular open source applications, including LibreOffice and uses Calamares to install the operating system.
artix	Artix Linux	2024-02-02 02:44 UTC	Linux	arch	Global	x86_64	Cinnamon;LXDE;LXQt;MATE;KDE Plasma;Xfce	Desktop;Live Medium 	Active	74 (140 hits per day)	Artix Linux is a fork (or continuation as an autonomous project) of the Arch-OpenRC and Manjaro-OpenRC projects. Artix Linux offers a lightweight, rolling-release operating system featuring the OpenRC init software. (Alternative spins feature the runit and s6 init software.) Several editions of Artix Linux are available, featuring either a plain command line or one of several desktop environments.
makulu	MakuluLinux	2024-02-02 02:44 UTC	Linux	debian	Vietnam	x86_64	Cinnamon;GNOME;Xfce	Desktop;Gaming;Live Medium 	Active	75 (140 hits per day)	"MakuluLinux is a rolling-release, desktop distribution based either on Ubuntu's LTS (long-term support) release or Debian's ""Testing"" branch. It includes pre-installed multimedia codecs, device drivers and software for everyday use. MakuluLinux comes in four editions: ""LinDoz"" - featuring the Cinnamon desktop with the user interface customised to resemble that of Microsoft Windows, ""Core"" - presenting a highly customised Xfce desktop environment, ""Flash"" - providing a standard Xfce desktop, and finally ""Shift"" - delivering a pre-configured GNOME desktop environment."
proxmox	Proxmox	2024-04-24 17:22 UTC	Linux	debian	Austria	x86_64	Openbox	Clusters;Server;Specialist 	Active	76 (140 hits per day)	Proxmox is a commercial company offering specialised products based on Debian GNU/Linux, notably Proxmox Virtual Environment and Proxmox Mail Gateway. Proxmox Virtual Environment is an open-source virtualisation platform for running virtual appliances and virtual machines. Proxmox Mail Gateway is a mail gateway with anti-spam and anti-virus features. The products are offered as free downloads with paid-for support and subscription options.
netbsd	NetBSD	2024-05-01 12:20 UTC	BSD	independent	USA	acorn26;acorn32;alpha;amiga;arc;atari;cats;cobalt;dreamcast;emips;evbarm;evbmips;evbppc;evbsh3;ews4800mips;hp300;hp700;hpcarm;hpcmips;hpcsh;i386;ibmnws;luna68k;m68010;mipsco;mvme68k;mvmeppc;news68k;newsmips;ofppc;pmax;powerpc;prep;sandpoint;sgimips;shark;sparc32;sparc64;sun2;sun3;vax;x68k;x86_64;zaurus	AfterStep;Awesome;Blackbox;Fluxbox;GNOME;IceWM;KDE;Openbox;WMaker;Xfce	Desktop;Raspberry Pi;Server 	Active	77 (136 hits per day)	NetBSD is a free, secure, and highly portable UNIX-like Open Source operating system available for many platforms, from 64-bit AlphaServers and desktop systems to handheld and embedded devices. Its clean design and advanced features make it excellent in both production and research environments, and it is user-supported with complete source. Many applications are easily available through The NetBSD Packages Collection.
nitrux	Nitrux	2024-02-02 02:44 UTC	Linux	debian;ubuntu	Mexico	x86_64	JWM;NX Desktop (KDE Plasma)	Desktop;Live Medium 	Active	78 (135 hits per day)	"Nitrux is a Linux distribution based on Debian's Unstable (sid) branch with additional packages pulled in from Ubuntu LTS repositories. Nitrux strives to be a distribution suitable for laptops and desktop computers. Its main desktop environment is NX Desktop, a KDE Plasma desktop enhanced with ""plasmoids"" to create a special blend of aesthetics and functionality. The project also focuses on using redistributable, portable applications using the AppImage format. Registration with an e-mail address was required to download this distribution, however public downloads have been available since mid-2020."
openbsd	OpenBSD	2024-04-05 05:21 UTC	BSD	independent	Canada	alpha;armish;aviion;hppa;i386;landisk;loongson;luna88k;octeon;powerpc;powerpc64;risc64;sgi;socppc;sparc;sparc64;x86_64;zaurus	AfterStep;Awesome;Blackbox;Enlightenment;Fluxbox;GNOME;IceWM;KDE;Openbox;WMaker;Xfce	Security;Server 	Active	79 (132 hits per day)	The OpenBSD project produces a free, multi-platform BSD 4.4-based UNIX-like operating system. Its efforts emphasize portability, standardisation, correctness, proactive security and integrated cryptography. The project also develops the widely-used and popular OpenSSH (OpenBSD Secure Shell) software, which provides encrypted communication sessions over a computer network using the SSH protocol.
oracle	Oracle Linux	2024-02-02 02:44 UTC	Linux	redhat	USA	aarch64;x86_64	GNOME	Server 	Active	80 (131 hits per day)	"Oracle Linux is an enterprise-class Linux distribution supported by Oracle and built from source packages for Red Hat Enterprise Linux (RHEL). Some of the special features of Oracle Linux include a custom-build and rigorously-tested Linux kernel called ""Oracle Unbreakable Kernel"", tight integration with Oracle's hardware and software products including most database applications, and ""zero downtime patching"" - a feature that enables administrators to update the kernel without a reboot."
bunsenlabs	BunsenLabs Linux	2024-02-02 02:44 UTC	Linux	debian	Global	i686;x86_64	Openbox	Desktop 	Active	81 (130 hits per day)	BunsenLabs Linux is a distribution offering a light-weight and easily customizable Openbox desktop. The BunsenLabs distribution is based on Debian's Stable branch and is a community continuation of the CrunchBang Linux distribution.
athena	Athena OS	2024-03-15 05:33 UTC	Linux	arch	Switzerland	x86_64	GNOME	Desktop;Forensics;Live Medium;Security 	Active	82 (129 hits per day)	Athena OS is an Arch-derived Linux distribution designed for penetration testing, bug-bounty hunting and InfoSec students. The distribution provides a way to connect directly to some of the e-learning hacking resources, such as Hack The Box, Offensive Security, PWNX and InfoSec certifications, and it provides integration with the Hack The Box hacking platform and connections to InfoSec communities. Athena OS also introduces InfoSec roles (e.g. penetration tester or open-source intelligence specialist) based on user preferences, so the user's system is populated with relevant tools only.
syslinuxos	SysLinuxOS	2024-02-02 02:44 UTC	Linux	debian	Italy	x86_64	GNOME;MATE	Desktop;Live Medium 	Active	83 (129 hits per day)	SysLinuxOS is a Debian-based GNU/Linux live distribution designed for system administrators and system integrators. It offers a complete networking environment that is organised to integrate various software tools and has a friendly graphical interface using the MATE desktop. SysLinuxOS was built to work right out of the box, with all networking tools already installed by default. It includes all major Virtual Private Networks (VPNs), several remote control clients, various browsers, as well as Wine, Wireshark, Etherape, Ettercap, PackETH, Packet Sender, Putty, Nmap, Cutecom, Packet Tracer, tools for serial console, and the latest stable Linux kernel.
emmabuntus	Emmabuntüs	2024-02-02 02:44 UTC	Linux	debian	France	i686;x86_64	LXQt;Xfce	Beginners;Desktop;Live Medium;Old Computers 	Active	84 (128 hits per day)	Emmabuntüs is a desktop Linux distribution with editions based on Debian's Stable branch with the Xfce and LXQt desktop environments. It strives to be beginner-friendly and reasonably light on resources so that it can be used on older computers. It also includes many modern features, such as large number of pre-configured programs for everyday use, dockbar for launching applications, easy installation of non-free software and media codecs, and quick setup through automated scripts. The distribution supports English, French, German, Italian, Portuguese and Spanish languages.
deepin	deepin	2024-02-02 02:44 UTC	Linux	debian	China	x86_64	Deepin	Desktop 	Active	85 (126 hits per day)	deepin (formerly, Deepin, Linux Deepin, Hiweed GNU/Linux) is a Debian-based distribution (it was Ubuntu-based until version 15 released in late 2015) that aims to provide an elegant, user-friendly and reliable operating system. It does not only include the best the open source world has to offer, but it has also created its own desktop environment called DDE or Deepin Desktop Environment which is based on the Qt 5 toolkit. Deepin focuses much of its attention on intuitive design. Its home-grown applications, like Deepin Software Centre, DMusic and DPlayer are tailored to the average user. Being easy to install and use, deepin can be a good Windows alternative for office and home use.
haiku	Haiku	2024-02-02 02:44 UTC	Other OS	independent	USA	i386;x86_64	Haiku	Desktop;Live Medium 	Active	86 (126 hits per day)	Haiku is an open-source operating system, currently in development, that specifically targets personal computing. Inspired by the Be Operating System (BeOS), Haiku aims to become a fast, efficient, simple to use, easy to learn and yet very powerful system for computer users of all levels. The key highlights that distinguish Haiku from other operating systems include: specific focus on personal computing, custom kernel designed for responsiveness, fully threaded design for great efficiency with multi-processor/core CPUs, rich object-oriented API for faster development, database-like file system (BFS) with support for indexed metadata, and unified, cohesive interface.
openmediavault	OpenMediaVault	2024-03-03 14:27 UTC	Linux	debian	Germany	x86_64	No Desktop;WebUI	NAS 	Active	87 (126 hits per day)	OpenMediaVault is a Network-Attached Storage (NAS) solution based on Debian GNU/Linux. It contains services like SSH, (S)FTP, SMB/CIFS, DAAP media server, rsync, BitTorrent and many more. Thanks to a modular design it can be enhanced via plugins. OpenMediaVault is primarily designed to be used in home environments or small home offices, but is not limited to those scenarios. It is a simple and easy-to-use out-of-the-box solution that will allow everyone to install and administrate a Network-Attached Storage without deeper knowledge.
ubuntumate	Ubuntu MATE	2024-04-27 04:10 UTC	Linux	debian;ubuntu	United Kingdom	aarch64;armhf;x86_64	MATE	Beginners;Desktop;Live Medium;Raspberry Pi 	Active	88 (126 hits per day)	"Ubuntu MATE is a desktop Linux distribution which aims to bring the simplicity and elegance of the Ubuntu operating system through a classic, traditional desktop environment - the MATE desktop. MATE is the continuation of the GNOME 2 desktop environment which was used as Ubuntu's default desktop until 10.10 (when it was replaced by Unity). The project began its life as an Ubuntu ""remix"", but starting with version 15.04, it was formally accepted as an official member of the Ubuntu family of Linux distributions."
rebornos	RebornOS	2024-02-02 02:44 UTC	Linux	arch	USA	x86_64	Xfce	Desktop;Live Medium 	Active	89 (125 hits per day)	RebornOS is a desktop-oriented Linux distribution based on Arch Linux. Although the RebornOS live image provides one desktop only, the installation process offers a choice to install one of the many popular desktop environments and window managers. Other interesting features of the distribution include support for Flatpak packages, optional installation of Anbox for running Android applications, a capability to rollback the system to a previous date, and graphical system configuration and maintenance tools.
ubuntustudio	Ubuntu Studio	2024-04-27 05:12 UTC	Linux	debian;ubuntu	USA	x86_64	KDE Plasma	Desktop;Live Medium;Multimedia 	Active	90 (125 hits per day)	An official variant of Ubuntu, Ubuntu Studio is a Linux-based operating system for creative individuals in the areas of audio production, video production, graphics design, photography and desktop publishing. It makes professional audio accessible on Linux; it uses the JACK sound server and a kernel built with a low-latency patch. Up until version 20.10 Ubuntu Studio shipped with the Xfce desktop environment, but this was replaced by KDE Plasma in October 2020.
truenas	TrueNAS	2024-04-24 03:23 UTC	BSD, Linux	debian;freebsd	France;USA	x86_64	No Desktop;WebUI	NAS 	Active	91 (123 hits per day)	TrueNAS CORE (previously known as FreeNAS) is a free and Open Source Network-Attached Storage (NAS) operating system that supports file, block and object storage. TrueNAS CORE is FreeBSD based and is a community-supported branch of the TrueNAS project, sponsored by iXsystems. It also has a commercial branch called TrueNAS Enterprise and a free and HyperConverged storage solution called TrueNAS SCALE. The TrueNAS SCALE branch is based on the Debian Linux distribution.
lxle	LXLE	2024-02-02 02:44 UTC	Linux	debian;ubuntu	USA	x86_64	LXDE	Desktop;Live Medium;Old Computers 	Active	92 (122 hits per day)	LXLE is an easy-to-use lightweight desktop Linux distribution based on Lubuntu and featuring the LXDE desktop environment. Compared to its parent, LXLE has a number of unique characteristics: it is built from Ubuntu's LTS (long-term support) releases, it covers most users' everyday needs by providing a good selection of default applications, and it adds useful modifications and tweaks to improve performance and functions.
kodachi	Linux Kodachi	2024-02-02 02:44 UTC	Linux	debian;xubuntu	Oman	x86_64	Xfce	Live Medium;Privacy;Security 	Active	93 (120 hits per day)	Linux Kodachi is a Debian-based distribution which can be run from a DVD or USB thumb drive. The distribution filters all network traffic through a VPN and the Tor network, obscuring the user's network location. The distribution attempts to clean up after itself, removing traces of its use from the computer. 
void	Void	2024-03-15 12:34 UTC	Linux	independent	Spain	aarch64;armv6;armv7;i686;x86_64	Xfce	Desktop;Live Medium;Raspberry Pi 	Active	94 (120 hits per day)	"Void is an independently-developed, general-purpose operating system based on the monolithic Linux kernel. It features a hybrid binary/source package management system which allows users to quickly install, update and remove software, or to build software directly from sources with the help of the XBPS source packages collection. Other features of the distribution include support for Raspberry Pi single-board computers (both armv6 and armv7), rolling-release development model with daily updates, and native init system called ""runit""."
eurolinux	EuroLinux	2024-02-02 02:44 UTC	Linux	redhat	Poland	aarch64;x86_64	GNOME;KDE Plasma	Desktop;Server 	Active	95 (119 hits per day)	EuroLinux is an enterprise-class Linux distribution made and supported by the EuroLinux company, built mostly from code of Red Hat Enterprise Linux. The origin of the system ensures compatibility with most popular enterprise Linux distributions including Red Hat Enterprise Linux, Oracle Linux, and CentOS. While primarily geared toward server workloads, EuroLinux can also be used for desktop computing or any environment where long-term stability and support are demanded.
gecko	GeckoLinux	2024-02-02 02:44 UTC	Linux	opensuse	USA	x86_64	Budgie;Cinnamon;GNOME;IceWM;KDE Plasma;LXQt;MATE;Pantheon;Xfce	Desktop;Live Medium 	Active	96 (119 hits per day)	GeckoLinux is a Linux spin based on the openSUSE distribution, with a focus on polish and out-of-the-box usability on the desktop. The distribution features many desktop editions which can be installed from live discs. Some patent encumbered open source software is included in GeckoLinux which is not available in the default installation of openSUSE. Special attention has been given to the quality of the font rendering. GeckoLinux provides two main editions, Static (which is based on openSUSE Leap) and Rolling (based on openSUSE Tumbleweed).
absolute	Absolute Linux	2024-02-02 02:44 UTC	Linux	slackware	USA	i686;x86_64	IceWM	Desktop;Old Computers 	Active	97 (118 hits per day)	Absolute Linux is a light-weight modification of Slackware Linux. It includes several utilities that make configuration and maintenance easier and it has many common desktop and Internet applications installed and configured with tight integration of menus, applications and MIME types. Absolute Linux uses IceWM and ROX for its window and file managers.
damnsmall	Damn Small Linux	2024-04-04 18:53 UTC	Linux	debian;antix	USA	i486	JWM;Fluxbox	Desktop;Old Computers;Live Medium 	Active	98 (116 hits per day)	Damn Small Linux was a business card size (50MB) live CD Linux distribution, based on Debian and Knoppix. After a 12 year break (from 2012 to 2024), the Damn Small Linux (DSL) project was relaunched. The distribution is now based on Debian and antiX with the goal of fitting on live media 700MB or smaller (in order to be usable in CD-ROM drives). Despite its minuscule size it strives to have a functional and easy to use desktop. Damn Small Linux has a nearly complete desktop suite, including web browsers, office software, an e-mail client, PDF viewer, media players, and FTP/SFTP client.
neptune	Neptune	2024-03-31 13:26 UTC	Linux	debian	Germany	x86_64	KDE Plasma	Desktop;Live Medium 	Active	99 (115 hits per day)	Neptune is a GNU/Linux distribution for desktops. It is based on Debian's Stable branch, except for a newer kernel, some drivers and newer versions of popular applications, such as LibreOffice. It also ships with the latest version of the KDE desktop. The distribution's main goals are to provide a good-looking general-purpose desktop with pre-configured multimedia playback and to offer an easy-to-use USB installer with a persistence option.
bros	Br OS	2024-02-02 02:44 UTC	Linux	debian;ubuntu	Brazil	x86_64	KDE Plasma	Desktop;Live Medium 	Active	100 (109 hits per day)	Br OS is a Brazilian Linux distribution based on Ubuntu and featuring the KDE Plasma desktop. It is designed as an intuitive, easy-to-use, general-purpose operating system for web navigation and content creation, providing a selection of useful applications for daily use.
slackel	Slackel	2024-02-02 02:44 UTC	Linux	slackware;salix	Greece	i686;x86_64	MATE;Openbox	Desktop;Live Medium 	Active	101 (108 hits per day)	Slackel is a Linux distribution and live CD based on Slackware Linux and Salix. It is fully compatible with both. It uses the current version of Slackware and the latest version of the KDE desktop. The Slackel disc images are offered in two different forms - installation and live.
archman	Archman GNU/Linux	2024-03-03 01:10 UTC	Linux	arch	Turkey	x86_64	i3;Xfce	Desktop;Live Medium 	Active	102 (106 hits per day)	Archman GNU/Linux is an Arch Linux-based distribution which features the Calamares system installer and a pre-configured desktop environment. Archman also features the Pamac package manager for easy installation of new software packages.
calculate	Calculate Linux	2024-04-02 01:59 UTC	Linux	gentoo	Russia	x86_64	Cinnamon;KDE Plasma;LXQt;MATE;Xfce	Desktop;Live Medium;Server;Source-based 	Active	103 (103 hits per day)	Calculate Linux is a Gentoo-based family of three distinguished distributions. Calculate Directory Server (CDS) is a solution that supports Windows and Linux clients via LDAP + SAMBA, providing proxy, mail and Jabbers servers with streamlined user management. Calculate Linux Desktop (CLD) is a workstation and client distribution (with a choice of Cinnamon, KDE Plasma, LXQt, MATE or Xfce desktops) that includes a wizard to configure a connection to Calculate Directory Server. Calculate Linux Scratch (CLS) is a live CD with a build framework for creating a custom distribution.
clear	Clear Linux	2024-02-02 02:44 UTC	Linux	independent	USA	x86_64	GNOME	Cloud;Desktop;Server;Specialist 	Active	104 (100 hits per day)	Clear Linux is a minimal distribution primarily designed with performance and cloud use-cases in mind. The operating system upgrades as a whole rather than using individual packages. Extra software can be added to the system (along with associated dependencies) using pre-compiled bundles which can be accessed through the distribution's swupd software manager.
whonix	Whonix	2024-03-13 00:40 UTC	Linux	debian	Canada	x86_64	Xfce	Desktop;Privacy;Security 	Active	105 (100 hits per day)	Whonix is an operating system focused on anonymity, privacy and security. It is based on the Tor anonymity network, Debian GNU/Linux and security by isolation. Whonix consists of two parts: One solely runs Tor and acts as a gateway, which is called Whonix-Gateway. The other, which is called Whonix-Workstation, is on a completely isolated network. Only connections through Tor are possible. With Whonix, you can use applications and run servers anonymously over the Internet. DNS leaks are impossible, and even malware with root privileges cannot find out the user's real IP.
slax	Slax	2024-02-02 02:44 UTC	Linux	debian;slackware	Czech Republic	i686;x86_64	Fluxbox	From RAM;Live Medium 	Active	106 (97 hits per day)	Slax is a minimalist desktop live CD based on Slackware Linux. It boots into a simple desktop using the Fluxbox window manager which offers a small collection of applications, including the Chromium web browser, a text editor and a calculator. Prior to version 9.x, Slax was a Slackware-based live CD featuring the KDE desktop and a wide collection of pre-installed software for daily use together with useful recovery tools for system administrators. After releasing version 11.x with a Debian base, the project returned to a Slackware base for version 15.0.0.
libreelec	LibreELEC	2024-05-01 19:08 UTC	Linux	independent	USA	armhf;armv7;x86_64	Kodi	Multimedia;Raspberry Pi 	Active	107 (95 hits per day)	"LibreELEC is ""just enough OS"" to run the Kodi media centre. LibreELEC is a Linux distribution built to run Kodi on current and popular hardware. The project is an evolution of the OpenELEC project. LibreELEC software will be familiar to OpenELEC users. The distribution runs on x86 desktop computers, Raspberry Pi devices and ODroid and WeTek computers."
backbox	BackBox Linux	2024-02-02 02:44 UTC	Linux	debian;ubuntu	Italy	x86_64	Xfce	Data Rescue;Forensics;Security;Live Medium 	Active	108 (94 hits per day)	BackBox Linux is an Ubuntu-based distribution developed to perform penetration tests and security assessments. It is designed to be fast and easy to use. It provides a minimal yet complete desktop environment, thanks to its own software repositories, which are always updated to the latest stable versions of the most often used and best-known ethical hacking tools.
nutyx	NuTyX	2024-05-01 12:50 UTC	Linux	lfs	Switzerland	x86_64	CDE;Cinnamon;Enlightenment;GNOME;JWM;KDE Plasma;LXDE;LXQt;MATE;Openbox;Xfce	Desktop;Live Medium 	Active	109 (94 hits per day)	"NuTyX is a French Linux distribution (with multi-language support) built from Linux From Scratch and Beyond Linux From Scratch, with a custom package manager called ""cards"". The package manager can install individual binary packages, a group of related binary packages (e.g. desktop packages, such as KDE or Xfce), and compile source packages from ""ports"". The distribution is designed for intermediate and advanced Linux users."
rosa	ROSA	2024-04-02 21:57 UTC	Linux	independent	Russia	i586;x86_64	GNOME;KDE Plasma;LXQt;Xfce	Desktop;Live Medium 	Active	110 (90 hits per day)	"ROSA is a Russian company developing a variety of Linux-based solutions. Its flagship product, ROSA Desktop, is a Linux distribution featuring a highly customised KDE desktop and a number of modifications designed to enhance the user-friendliness of the working environment. The company also develops an ""Enterprise Server"" edition of ROSA which is based on Red Hat Enterprise Linux."
rlxos	rlxos	2024-02-02 02:44 UTC	Linux	independent	Global	x86_64	Xfce	Desktop;Immutable 	Active	111 (88 hits per day)	rlxos is an independent Linux distribution which runs on an immutable filesystem and features the Xfce desktop. The project features the Distrobox container manager to facilitate running software from multiple other distributions. It also includes support for Flatpak and includes the Bolt AI assistant.
siduction	siduction	2024-02-02 02:44 UTC	Linux	debian	Germany	x86_64	KDE Plasma;LXQt;Xfce	Desktop;Live Medium 	Active	112 (88 hits per day)	"The siduction distribution is a desktop-oriented operating system and live medium based on the ""unstable"" branch of Debian GNU/Linux. Forked from aptosid in late 2011, siduction offers many separate live media with a range of desktop environments. The project also promises regular releases, an open development model, and friendly relationship with its developer and user community."
plop	Plop Linux	2024-02-15 11:57 UTC	Linux	independent	Austria	armv6l;i486;x86_64	Fluxbox;MATE;Xfce	Data Rescue;Desktop;Live Medium;Raspberry Pi;Server 	Active	113 (85 hits per day)	Plop Linux is a small distribution that can boot from CD, DVD, USB flash drive (UFD), USB hard disk or from network with PXE. It is designed to rescue data from a damaged system, backup and restore operating systems, automate tasks and more.
clonezilla	Clonezilla Live	2024-04-18 17:44 UTC	Linux	debian	Taiwan	i686;x86_64	No Desktop	Data Rescue;Specialist 	Active	114 (83 hits per day)	Clonezilla Live is a Debian-based live CD containing Clonezilla, a partition and disk cloning software similar to Norton Ghost. It saves and restores only used blocks in hard drive. With Clonezilla, one can clone a 5 GB system to 40 clients in about 10 minutes.
openmamba	openmamba GNU/Linux	2024-04-02 13:33 UTC	Linux	independent	Italy	i586;x86_64	KDE Plasma;LXQt	Desktop;Live Medium;Raspberry Pi;Server 	Active	115 (83 hits per day)	openmamba GNU/Linux is a distribution for personal computers (Intel i686-compatible) that can be used on notebooks, desktops and servers. It works as an installable live CD, offering out-of-the box support for proprietary graphics drivers and wireless network cards, a variety of media codecs and 3D desktop with KDE. The distribution, which has roots in the discontinued QiLinux project, uses APT for RPM and Synaptic as its package management tools.
redcore	Redcore Linux	2024-02-02 02:44 UTC	Linux	gentoo	Romania	x86_64	KDE Plasma	Desktop;Live Medium;Source-based 	Active	116 (83 hits per day)	Redcore Linux explores the idea of bringing the power of Gentoo Linux to the masses. It aims to be a very quick way to install a pure Gentoo Linux system without spending hours or days compiling from source code, and reading documentation. To achieve this goal, Redcore provides a repository with pre-built binary packages which receives continuous updates, following a rolling release model.
kanotix	KANOTIX	2024-04-17 23:58 UTC	Linux	debian	Germany	i686;x86_64	KDE;LXDE	Desktop;From RAM;Live Medium 	Active	117 (81 hits per day)	KANOTIX is a Linux distribution based on the latest stable release of Debian GNU/Linux. It is built on top of a latest kernel which is carefully patched with fixes and drivers for most modern hardware. Although it can be used as a live CD, it also includes a graphical installer for hard disk installation. The user-friendly nature of the distribution is further enhanced by a custom-built control centre and specialist scripts.
ultimate	Ultimate Edition	2024-02-02 02:44 UTC	Linux	arch;debian;ubuntu	USA	armhf;x86_64	Awesome;Budgie;GNOME;KDE Plasma;MATE	Desktop;Live Medium 	Active	118 (80 hits per day)	Ultimate Edition, first released in December 2006, is a fork of Ubuntu and Linux Mint. The goal of the project is to create a complete, seamlessly integrated, visually stimulating, and easy-to-install operating system. Single-button upgrade is one of several special characteristics of this distribution. Other main features include custom desktop and theme with 3D effects, support for a wide range of networking options, including WiFi and Bluetooth, and integration of many extra applications and package repositories.
endless	Endless OS	2024-03-01 00:38 UTC	Linux	debian	USA	arm64;x86_64	EOS Shell (GNOME)	Desktop;Immutable;Live Medium;Raspberry Pi 	Active	119 (76 hits per day)	Endless OS is a Linux-based operating system which provides a simplified and streamlined user experience using a customized desktop environment forked from GNOME 3. Rather than using a traditional Linux package management system, Endless OS uses a read-only root file system managed by OSTree with application bundles overlaid on top. 
lakka	Lakka	2024-02-02 02:44 UTC	Linux	libreelec	France	aarch64;i386;x86_64	RetroArch	Gaming;Multimedia;Raspberry Pi 	Active	120 (76 hits per day)	Lakka is a lightweight Linux distribution that transforms a small computer into a full blown game console. The distribution is based on LibreELEC and runs the RetroArch console emulator. Lakka is capable of running on a variety of hardware, including personal computers, Raspberry Pi boards and WeTek Play devices.
fatdog	Fatdog64 Linux	2024-02-02 02:44 UTC	Linux	lfs	USA	x86_64	Openbox	Desktop;Live Medium 	Active	121 (75 hits per day)	Fatdog64 Linux is a small, desktop, 64-bit Linux distribution. Originally created as a derivative of Puppy Linux with additional applications, Fatdog64 has grown to become a distinct, separate project while maintaining much of the style of Puppy Linux.
systemrescue	SystemRescue	2024-02-02 02:44 UTC	Linux	arch	France	x86_64	Xfce	Data Rescue;From RAM;Live Medium 	Active	122 (75 hits per day)	SystemRescue is an Arch-based Linux system on a bootable CD-ROM or USB drive, designed for repairing a system and data after a crash. It also aims to provide an easy way to carry out administration tasks on a computer, such as creating and editing hard disk partitions. It contains many useful system utilities (GNU Parted, PartImage, FSTools) and some basic ones (editors, Midnight Commander, network tools). It aims to be very easy to use. The kernel of the system supports all of today's most important file systems, including ext2, ext3, ext4, ReiserFS, Reiser4FS, btrfs, XFS, JFS, VFAT, NTFS, ISO9660, as well as network file systems, such as Samba and NFS.
univention	Univention Corporate Server	2024-03-14 16:00 UTC	Linux	debian	Germany	x86_64	KDE	Server 	Active	123 (74 hits per day)	Univention Corporate Server is an enterprise-class distribution based on Debian GNU/Linux. It features an integrated management system for central administration of servers, Microsoft Active Directory-compatible domain services, and functions for parallel operation of virtualised server and desktop operating systems.
postmarketos	postmarketOS	2024-02-02 02:44 UTC	Linux	alpine	Netherlands	aarch64;armv7;x86_64	GNOME;Phosh;Plasma Mobile;Sxmo	Live Medium;Mobile 	Active	124 (72 hits per day)	postmarketOS is an Alpine-based Linux distribution for mobile devices. The project offers three mobile interfaces: Phosh, Plasma Mobile, and Simple Mobile X Interface (Sxmo). The project aims to provide long-term support for a range of mobile devices, key among them the Librem 5 and the PinePhone, though other, traditionally Android devices, are supported.
raspios	Raspberry Pi OS	2024-03-15 18:05 UTC	Linux	debian	United Kingdom	aarch64;armhf	LXDE	Raspberry Pi 	Active	125 (71 hits per day)	Raspberry Pi OS (formerly Raspbian) is a free operating system based on Debian GNU/Linux and optimised for the Raspberry Pi hardware (the armhf processor architecture). Raspberry Pi OS comes with over 35,000 packages, or pre-compiled software bundled in a nice format for easy installation on a Raspberry Pi. The initial build was completed in June of 2012, but the distribution continues to be active developed with an emphasis on improving the stability and performance of as many Debian packages as possible. Although Debian produces a distribution for the arm architecture, it is compatible only with versions later than the one used on the Raspberry Pi (ARMv7-A CPUs and higher vs the Raspberry Pi's ARMv6 CPU).
osmc	OSMC	2024-02-05 14:21 UTC	Linux	raspios	United Kingdom	armhf;armv7	Kodi	Raspberry Pi 	Active	126 (70 hits per day)	OSMC (formerly Raspbmc) is a Debian-based minimal Linux distribution that brings the Kodi media centre software to a Raspberry Pi, Apple TV and Vero devices. This device has an excellent form factor and enough power to handle media playback, making it an ideal component in a low-cost HTPC (Home Theatre Personal Computer) setup, yet delivering the same Kodi experience that can be enjoyed on much more costly platforms.
gparted	GParted Live	2024-03-22 21:17 UTC	Linux	debian	USA	i686;x86_64	Fluxbox	Disk Management;Data Rescue;Live Medium 	Active	127 (67 hits per day)	GParted Live is a live distribution with a single purpose - to provide tools for partitioning hard disks in an intuitive, graphical environment. The distribution uses X.Org, the light-weight Fluxbox window manager, and the latest 4.x Linux kernel. GParted Live runs on most x86 machines with a Pentium II or better.
grml	Grml	2024-02-28 13:10 UTC	Linux	debian	Austria	i686;x86_64	Fluxbox	From RAM;Live Medium 	Active	128 (66 hits per day)	Grml is a bootable CD (live CD) based on Debian GNU/Linux. It includes a collection of GNU/Linux software especially for users of text tools and system administrators. It also provides automatic hardware detection. Grml can be used as a rescue system, for analysing systems and networks, or as a working environment. Due to on-the-fly decompression, Grml includes about 2 GB of software and documentation on the CD.
ubuntubudgie	Ubuntu Budgie	2024-04-27 05:06 UTC	Linux	debian;ubuntu	United Kingdom	aarch64;x86_64	Budgie	Desktop;Live Medium 	Active	129 (66 hits per day)	Ubuntu Budgie (previously budgie-remix) is an Ubuntu-based distribution featuring the Budgie desktop, originally developed by the Solus project. Written from scratch and integrating tightly with the GNOME stack, Budgie focuses on simplicity and elegance, while also offering useful features, such as the Raven notification and customisation centre.
